key,sa,vspt,coe
fin_fi#reading#0#1,0,0.849,0.137
spa_es#structures#0#1,0,0.792,0.423
deu_de#reading#1#1,0.298,0.79,-0.121
ell_gr#writing#1#1,0.159,0.549,-0.157
deu_de#structures#0#1,0,0.792,0.423
deu_de#vocabulary#0#1,0,0.951,0.036
por_pt#writing#0#1,0,0.825,-0.193
fin_fi#writing#1#0,0.246,0,0.064
gle_ie#writing#1#0,0.246,0,0.064
nor_no#reading#1#1,0.298,0.79,-0.121
ell_gr#reading#0#1,0,0.849,0.137
eng_gb#listening#0#1,0,0.877,0.145
deu_de#writing#0#1,0,0.825,-0.193
eng_gb#vocabulary#0#1,0,0.951,0.036
nld_nl#structures#0#1,0,0.792,0.423
fin_fi#structures#0#1,0,0.792,0.423
fra_fr#listening#1#0,0.295,0,0.348
gle_ie#vocabulary#0#1,0,0.951,0.036
ell_gr#listening#0#1,0,0.877,0.145
